StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q0,Q17,Q1,Q2,Q2_6_TEXT,Q2b,Q2b_6_TEXT,Q4,Q4_6_TEXT,Q3,Q3_1_TEXT,Q5,Q6,Q7,Q8,Q8_1_TEXT,Q8_2_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q10,Q11,Q12,Q22,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for choosing to take part in the survey!

In the survey, you will be asked 12 questions regarding your interracial relationship. The purpose of the survey is to assess how interracial relationships differ from intraracial ones. 
All data is anonymous and confidential and you may choose to opt out of the survey at any point.",Please indicate below if you understand and agree to taking this survey:,What is your prolific ID?,Do you and your partner identify as an interracial couple?,What race do you identify as? - Selected Choice,What race do you identify as? - Other - Text,What race does your partner identify as? - Selected Choice,What race does your partner identify as? - Other - Text,"Do you have a racial preference? If so, towards which race(s)? - Selected Choice","Do you have a racial preference? If so, towards which race(s)? - Other - Text",Have there been any times when you have been unintentionally racist towards your partner? - Selected Choice,Have there been any times when you have been unintentionally racist towards your partner? - Yes - please explain - Text,"Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race","Rate the extent to which you agree with the following statement:

There have been times when I have felt like an outsider to my partner or their family","Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race",Do you think that being linked to another race has benefits? Why or why not? - Selected Choice,Do you think that being linked to another race has benefits? Why or why not? - Yes - please explain - Text,Do you think that being linked to another race has benefits? Why or why not? - No - please explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Selected Choice,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Yes - explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - No - explain - Text,"Rate the extent to which you agree with the following statement:

It's okay to have a racial fetish--love is love","Rate the extent to which you agree with the following statement:

I want my babies to be mixed race","Rate the extent to which you agree with the following statement:

Interracial sex is better than sex with my own race","Thank you for your time and all of your help! You are now done with the survey



If you are taking this from Prolific, you can now return to this link to properly complete the survey:



https://app.prolific.com/submissions/complete?cc=CD5Y70O5",Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID10_2_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID28_2_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID30""}","{""ImportId"":""Random ID""}"
2023-11-30 13:18:19,2023-11-30 13:23:27,IP Address,217.113.231.87,100,308,True,2023-11-30 13:23:28,R_1GuWvB6gohiwbpi,,,,,51.7737,19.4767,anonymous,EN,,"Yes, I understand and agree to participate",5cdd7d9f83e768001952c3d6,No,"White, non-Hispanic",,"White, non-Hispanic",,"Asian or Pacific Islander,White, non-Hispanic",,No,,Somewhat agree,Strongly disagree,Somewhat agree,Yes - please explain,"It helps you to be on the same page as your partner - for example, if i were of different race then my partner, then i might have a problem with understanding fully certain problems (like f.e. racism) my better half would experience in her daily life",,No - explain,,I havent dated outside of my race,Agree,Neither agree nor disagree,Neither agree nor disagree,,50240
2023-11-30 13:19:41,2023-11-30 13:24:17,IP Address,154.127.114.14,94,276,False,2023-11-30 13:36:27,R_3koKWTxThgMNPgd,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",6171b75b3c2b59f8487b4814,Yes,"Black, non-Hispanic",,"White, non-Hispanic",,"American Indian or Alaskan Native,Asian or Pacific Islander,White, non-Hispanic",,No,,Disagree,Somewhat agree,Disagree,No - please explain,,"because as the black person, i am made by outside to look and feel inferior",No - explain,,because we love who we love,Agree,Somewhat agree,Agree,,12681
2023-11-30 13:19:06,2023-11-30 13:22:12,IP Address,102.221.1.151,94,185,False,2023-11-30 13:36:27,R_1M5TPJjt9VvP9bP,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",616695954abbd951dd25d153,Yes,Other,Mixed Race South African,"Black, non-Hispanic",,I don't have a racial preference,,No,,Strongly disagree,Somewhat agree,Somewhat disagree,Yes - please explain,You learn more about your own self.,,No - explain,,I'm not racially confined.,Agree,Strongly agree,Neither agree nor disagree,,30739
2023-11-30 13:19:05,2023-11-30 13:20:57,IP Address,163.117.64.18,94,111,False,2023-11-30 13:36:28,R_1Ein5DUNM7BU3ZV,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",606dfc7748c0f1bccac89e20,No,Hispanic,,"White, non-Hispanic",,I don't have a racial preference,,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes - please explain,It gives a wider insight into other cultures and experiences.,,No - explain,,"No, race is not important for me.",Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,78158
2023-11-30 13:18:40,2023-11-30 13:23:49,IP Address,188.6.68.169,94,309,False,2023-11-30 13:36:31,R_YPvhfRd5s1oGP4J,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",60d06b3cf344af8331fc63b0,Yes,Asian or Pacific Islander,,"White, non-Hispanic",,I don't have a racial preference,,No,,Strongly agree,Somewhat disagree,Strongly agree,Yes - please explain,"Have more Cutural Benefits
",,No - explain,,"No, i do not think so",Agree,Neither agree nor disagree,Somewhat agree,,81712
2023-11-30 13:18:54,2023-11-30 13:28:17,IP Address,71.17.144.198,94,563,False,2023-11-30 13:36:32,R_1rj2rcDo4cfh2Vz,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",654e894f03cd0b57072677b7,No,"Black, non-Hispanic",,"Black, non-Hispanic",,"Black, non-Hispanic,I don't have a racial preference",,No,,Strongly agree,Strongly disagree,Strongly agree,Yes - please explain,"for instance, white folks tend to be more advantageous in every aspects, education, healthcare, etc",,No - explain,,"Although black, 
I am completely indifferent about dating;  Although the race is important , however, the individuals values takes precedence   in my choice for a date , than their race.",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,14000
2023-11-30 13:18:59,2023-11-30 13:22:32,IP Address,194.9.53.223,94,213,False,2023-11-30 13:36:36,R_20SUUMeekB7EBmm,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",653fd2aebadbc19b18790edb,Yes,Asian or Pacific Islander,,"White, non-Hispanic",,"White, non-Hispanic",,Yes - please explain,"yes, due to some cultural difference",Agree,Somewhat agree,Strongly agree,No - please explain,,"It doesn't have any benifits,what matter is if youre happy in the relationship.",No - explain,,I never felt so because you i beleive that i can be betrayed even by the same race.,Neither agree nor disagree,Somewhat agree,Disagree,,62532
2023-11-30 13:18:36,2023-11-30 13:20:49,IP Address,78.8.212.83,94,133,False,2023-11-30 13:36:38,R_1lhlpgpaxvUsCo5,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",5e820b70239c3490a5e6015f,Yes,"White, non-Hispanic",,Asian or Pacific Islander,,I don't have a racial preference,,Yes - please explain,During sexual intercourse,Neither agree nor disagree,Agree,Neither agree nor disagree,Yes - please explain,We may exchange views of the world,,No - explain,,Just no,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,68005
2023-11-30 13:18:29,2023-11-30 13:21:41,IP Address,189.147.188.39,94,192,False,2023-11-30 13:36:39,R_2YsLCaBAwfr8g8o,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",6156017fbad0983c816fbd7c,No,Hispanic,,"White, non-Hispanic",,"Hispanic,Other",Latina,No,,Disagree,Somewhat agree,Disagree,Yes - please explain,I may pass as white,,No - explain,,"No, I think in any case is the opposite because dating a white/european person indicates higher status (altough I don't believe in this but people believe so)",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,76006
2023-11-30 13:18:34,2023-11-30 13:21:30,IP Address,81.207.35.171,94,176,False,2023-11-30 13:36:39,R_1jlbYWuWkXDXB6s,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",642cc97cc8746a0c9b3fd755,Yes,"White, non-Hispanic",,"Black, non-Hispanic",,"Hispanic,Black, non-Hispanic",,No,,Disagree,Strongly disagree,Strongly disagree,No - please explain,,We're just the same race optimized for different levels of solar exposure.,No - explain,,Why would it be betraying anyone that makes no sense.,Disagree,Neither agree nor disagree,Disagree,,57252
2023-11-30 13:18:38,2023-11-30 13:21:12,IP Address,85.246.129.75,94,154,False,2023-11-30 13:36:39,R_21d2nU7fM07YQv3,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",646f5cb81d01d3447e1caa7f,Yes,"White, non-Hispanic",,"Black, non-Hispanic",,I don't have a racial preference,,No,,Disagree,Disagree,Neither agree nor disagree,No - please explain,,"as a white person, I have a lot of previlege ",No - explain,,race should have nothing to do with who you love,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,49589
2023-11-30 13:18:30,2023-11-30 13:23:02,IP Address,41.150.251.15,94,271,False,2023-11-30 13:36:40,R_1OP7E2DC5LePTDk,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",6537c1fa6d8ae9d4bd8d3bee,Yes,"Black, non-Hispanic",,"Black, non-Hispanic",,"Black, non-Hispanic,White, non-Hispanic",,No,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,No - please explain,,,Yes - explain,I get viewed as a person who thinks other races are better my own race.,,Somewhat agree,Somewhat agree,Strongly agree,,73658
