,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q0,Q1.1,Q2,Q2_6_TEXT,Q2b,Q4,Q4_6_TEXT,Q3,Q3_1_TEXT,Q5,Q6,Q7,Q8,Q8_1_TEXT,Q8_2_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q10,Q11,Q12,Q22,Random.ID,Q17
1,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for choosing to take part in the survey!

In the survey, you will be asked 12 questions regarding your interracial relationship. The purpose of the survey is to assess how interracial relationships differ from intraracial ones. 
All data is anonymous and confidential and you may choose to opt out of the survey at any point.",Please indicate below if you understand and agree to taking this survey:,Do you and your partner identify as an interracial couple?,What race do you identify as? - Selected Choice,What race do you identify as? - Other - Text,What race does your partner identify as? - Selected Choice,"Do you have a racial preference? If so, towards which race(s)? - Selected Choice","Do you have a racial preference? If so, towards which race(s)? - Other - Text",Have there been any times when you have been unintentionally racist towards your partner? - Selected Choice,Have there been any times when you have been unintentionally racist towards your partner? - Yes - please explain - Text,"Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race","Rate the extent to which you agree with the following statement:

There have been times when I have felt like an outsider to my partner or their family","Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race",Do you think that being linked to another race has benefits? Why or why not? - Selected Choice,Do you think that being linked to another race has benefits? Why or why not? - Yes - please explain - Text,Do you think that being linked to another race has benefits? Why or why not? - No - please explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Selected Choice,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Yes - explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - No - explain - Text,"Rate the extent to which you agree with the following statement:

It's okay to have a racial fetish--love is love","Rate the extent to which you agree with the following statement:

I want my babies to be mixed race","Rate the extent to which you agree with the following statement:

Interracial sex is better than sex with my own race","Thank you for your time and all of your help! You are now done with the survey

If you are taking this from MTurk, here is your ID: [Field-Random%20ID]

Copy your ID to paste into MTurk. Once you have copied it, you can submit to finish your survey.",Random ID,NA
3,11/28/23 16:56,11/28/23 16:58,Survey Preview,,100,77,TRUE,11/28/23 16:58,R_Ry5iqA3FwIcICTT,,,,,43.0812,-89.3845,preview,EN,,"Yes, I understand and agree to participate",Yes,Hispanic,,Hispanic,Asian or Pacific Islander,,Yes - please explain,,Somewhat disagree,Agree,Disagree,,,,,,,Disagree,Neither agree nor disagree,Strongly agree,,,NA
4,11/28/23 17:06,11/28/23 17:08,Survey Preview,,100,76,TRUE,11/28/23 17:08,R_6o53uobpq9Xhehz,,,,,43.0812,-89.3845,preview,EN,,"Yes, I understand and agree to participate",Yes,"White, non-Hispanic",,American Indian or Alaskan Native,I don't have a racial preference,,Yes - please explain,,Somewhat agree,Somewhat agree,Agree,Yes - please explain,,,No - explain,,,Disagree,Somewhat disagree,Agree,,,NA
5,11/28/23 18:02,11/28/23 18:03,Survey Preview,,100,43,TRUE,11/28/23 18:03,R_33qaQa1oX9kq7ES,,,,,43.0812,-89.3845,preview,EN,,"Yes, I understand and agree to participate",,NA,,,,,,,,,,,,,,,,,,,,20842,NA
8,11/30/23 13:18,11/30/23 13:23,IP Address,217.113.231.87,100,308,TRUE,11/30/23 13:23,R_1GuWvB6gohiwbpi,,,,,51.7737,19.4767,anonymous,EN,,"Yes, I understand and agree to participate",No,"White, non-Hispanic",,"White, non-Hispanic","Asian or Pacific Islander,White, non-Hispanic",,No,,Somewhat agree,Strongly disagree,Somewhat agree,Yes - please explain,"It helps you to be on the same page as your partner - for example, if i were of different race then my partner, then i might have a problem with understanding fully certain problems (like f.e. racism) my better half would experience in her daily life",,No - explain,,I havent dated outside of my race,Agree,Neither agree nor disagree,Neither agree nor disagree,,NA,5cdd7d9f83e768001952c3d6
9,11/30/23 13:19,11/30/23 13:24,IP Address,154.127.114.14,94,276,FALSE,11/30/23 13:36,R_3koKWTxThgMNPgd,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,"Black, non-Hispanic",,"White, non-Hispanic","American Indian or Alaskan Native,Asian or Pacific Islander,White, non-Hispanic",,No,,Disagree,Somewhat agree,Disagree,No - please explain,,"because as the black person, i am made by outside to look and feel inferior",No - explain,,because we love who we love,Agree,Somewhat agree,Agree,,NA,6171b75b3c2b59f8487b4814
10,11/30/23 13:19,11/30/23 13:22,IP Address,102.221.1.151,94,185,FALSE,11/30/23 13:36,R_1M5TPJjt9VvP9bP,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,Other,Mixed Race South African,"Black, non-Hispanic",I don't have a racial preference,,No,,Strongly disagree,Somewhat agree,Somewhat disagree,Yes - please explain,You learn more about your own self.,,No - explain,,I'm not racially confined.,Agree,Strongly agree,Neither agree nor disagree,,NA,616695954abbd951dd25d153
11,11/30/23 13:19,11/30/23 13:20,IP Address,163.117.64.18,94,111,FALSE,11/30/23 13:36,R_1Ein5DUNM7BU3ZV,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,Hispanic,,"White, non-Hispanic",I don't have a racial preference,,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes - please explain,It gives a wider insight into other cultures and experiences.,,No - explain,,"No, race is not important for me.",Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,606dfc7748c0f1bccac89e20
12,11/30/23 13:18,11/30/23 13:23,IP Address,188.6.68.169,94,309,FALSE,11/30/23 13:36,R_YPvhfRd5s1oGP4J,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",Yes,Asian or Pacific Islander,,"White, non-Hispanic",I don't have a racial preference,,No,,Strongly agree,Somewhat disagree,Strongly agree,Yes - please explain,"Have more Cutural Benefits
",,No - explain,,"No, i do not think so",Agree,Neither agree nor disagree,Somewhat agree,,NA,60d06b3cf344af8331fc63b0
13,11/30/23 13:18,11/30/23 13:28,IP Address,71.17.144.198,94,563,FALSE,11/30/23 13:36,R_1rj2rcDo4cfh2Vz,,,,,,,anonymous,EN,,"Yes, I understand and agree to participate",No,"Black, non-Hispanic",,"Black, non-Hispanic","Black, non-Hispanic,I don't have a racial preference",,No,,Strongly agree,Strongly disagree,Strongly agree,Yes - please explain,"for instance, white folks tend to be more advantageous in every aspects, education, healthcare, etc",,No - explain,,"Although black, 
I am completely indifferent about dating;  Although the race is important , however, the individuals values takes precedence   in my choice for a date , than their race.",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,NA,654e894f03cd0b57072677b7
